Komentar,Timestamp,Platform,Sentimen
what goes comes around Kim searon has two sisters but if it's true that family just framed him i swear one day they will harvest what their mother sow,6d ago,Tiktok,positif
you people you just don't want truth that's why you are working hard to ruin him,6d ago,Tiktok,negatif
"Kan dari awal juga udah di spill ama garosero dan keluarganya KSR, kalo Kim Cha Bule ini punya banyak selir versi walid korea ????",6d ago,Tiktok,netral
"Katanya ksh berpacaran sekali pacaran 2or 3 wanita dia pacaran sekaligus, makanya waktu prescon dia bilang kalau waktu di undur dia tetap sembunyikan hubungan dia & ksr. Karena ada yang Harus dia jaga",6d ago,Tiktok,netral
Terdesak sdh ksh sbb takut kena penjara couple budak bawa umur,6d ago,Tiktok,netral
espero que no sea con una menor de edad todo es posible por dinero baila el diablo que no hacen para tapar sus fechorías,4d ago,Tiktok,netral
Justiça a Kim sae ron ??????,5d ago,Tiktok,netral
anjirrr kim cangcut gua ga expect ampe kek fifty shades,2024-03-01 00:00:00,Tiktok,netral
jgn jgn dia suka gaya kyk Mr.grey !,2024-03-01 00:00:00,Tiktok,netral
mnurut ku ini bukan antara keluarga KSR sama KSH tpi lebih k.antara Garo sero sama KSH dah kya ny ad dndam pribadi ??,2024-03-01 00:00:00,Tiktok,netral
Gue akuin berani bgt garosero ini.. smg ngana aman2 aja pak. Gatau jg ini bener ato ga. Tp kalo emg bener duhh syok bgt ya,2024-03-01 00:00:00,Tiktok,netral
"gua masih berpikir keras, Garo sero kok tau semua? dia ngintip tiap mreka lagi mabar kah?",2025-03-01 00:00:00,Tiktok,netral
"Garo sero harus pekerjakan translator konser Indo, biar +62 paham secepet kilat??",2024-03-01 00:00:00,Tiktok,netral
"garosero bisa ga sehari uploadnya 2 gitu..
soalnya mau lebaran. ntar lebaran pulang kampung susah sinyal????",2024-03-01 00:00:00,Tiktok,netral
plis link YouTube Garo sero mana soalnya kalo search namanya gada,2024-03-01 00:00:00,Tiktok,netral
AKU KALO JADI GARO SERO LANGSUNG KU UPLOAD VIDEO ITU,2024-03-01 00:00:00,Tiktok,netral
menyala garo sero??????,2024-03-01 00:00:00,Tiktok,netral
"kalau misal abang garo sero ini ngasih informasi palsu/fitnah, knp ksh dan agensinya gak nuntut garo sero? berarti fakta dong",2024-03-01 00:00:00,Tiktok,netral
"sumpah Garo sero tuh makin ke sini makin ke sana,niat nya udah jelas bikin nama baik Soo Hyun jadi jelek",2024-03-01 00:00:00,Tiktok,netral
takut banget Garo sero ilang,2024-03-01 00:00:00,Tiktok,netral
garo sero faightinggg usut sampai tuntas,2024-03-01 00:00:00,Tiktok,netral
gw suka garo sero dengan plat orange di kepala nyaa,2024-03-01 00:00:00,Tiktok,netral
garo sero termasuk hebat barani dia lawan soon ga ada takutnya gas trus sero selama itu benar,2025-03-01 00:00:00,Tiktok,netral
gas terus garo sero,2024-03-01 00:00:00,Tiktok,netral
Bdsm,2028-03-01 00:00:00,Tiktok,netral
Maksudnya ini bdsm?,2026-03-01 00:00:00,Tiktok,netral
hahhhh????? bdsm?????????,2026-03-01 00:00:00,Tiktok,netral
. Astaga keinget fifty shades ?? ?,2026-03-01 00:00:00,Tiktok,netral
bdsm?? ?? damn,2025-03-01 00:00:00,Tiktok,netral
K.diddy to fifty shades of grey kim so hyun????????????,2025-03-01 00:00:00,Tiktok,netral
oh bdsm,2026-03-01 00:00:00,Tiktok,netral
makin kesini makin sru dengan berita bru garo sero oy??,2025-03-01 00:00:00,Tiktok,netral
Bdsm jir,2024-03-01 00:00:00,Tiktok,netral
si ksh beneran dikulitin bjir sama si bapak garo sero wkwk,2025-03-01 00:00:00,Tiktok,netral
"bro lah, kata gua mahh garo sero ga main"", keluar lu sohnyap??",2025-03-01 00:00:00,Tiktok,positif
kok jd mirip fifty shades of grey??,2026-03-01 00:00:00,Tiktok,netral
"soohyun tolong dibantah,aku mau liat video yg ini wkwkw",2024-03-01 00:00:00,Tiktok,netral
sutradara taxi driver: catat2,2024-03-01 00:00:00,Tiktok,netral
btw berita nya rada redup ga sih????,2024-03-01 00:00:00,Tiktok,netral
kok sampe skrng dari pihak ksh bener2 gaada omongan apa2 ya?,2024-03-01 00:00:00,Tiktok,netral
"gue ngeri ini bapak² tiba² ""hilang""",2024-03-01 00:00:00,Tiktok,netral
anjj gw lngsung paham??,2024-03-01 00:00:00,Tiktok,netral
Lain kali pake translate apaaa??,2024-03-01 00:00:00,Tiktok,netral
"yg di film real memang jiwa Kim cangcut??, merinding sebadan gue",2024-03-01 00:00:00,Tiktok,positif
"gua sampe jenuh ngikutin kasus ini, tapi klo ga ngikutin jadi penasaran????",2024-03-01 00:00:00,Tiktok,netral
"Garosero jgn kelamaan intro ngapa, up aja up?? penasaran banget hihiw",2024-03-01 00:00:00,Tiktok,netral
Kayaknya dia semuak itu sm ksh ??,2024-03-01 00:00:00,Tiktok,netral
"Ayoo bantahhh soohyun??, biar liat update poto video terbaru dari garosero????",2024-03-01 00:00:00,Tiktok,netral
"om Garo om Garo, langsung spill aja dh klo benar emang ada video nya",2024-03-01 00:00:00,Tiktok,netral
"Demi apa aku malah takut Garosero hilang ??
soalnya yg di lawan bukan orang sembarangan. semoga senantiasa slalu dalam lindungan Tuhan. suarakan kebenaran ??",2024-03-01 00:00:00,Tiktok,netral
"garongsero suka fitnah orang ya.. ga nyambung banget, om.. apa hubungannya?",2024-03-01 00:00:00,Tiktok,netral
"KSH kamu harus bantah ini please, biar videonya dirilis garosero hahaha??????",2024-03-01 00:00:00,Tiktok,positif
"tolong banget ini mah, dia mirip yang ada di drakor apa gitu lupa???? mirip banget??",2024-03-01 00:00:00,Tiktok,netral
kim sae Ron benerann hamil? ??,2024-03-01 00:00:00,Tiktok,netral
JANGAN BILANG ADA VIDEONYA ???? YA TUHAN KALAU IYA GAK TAHU LAGI JIR MAU KAGETNYA BAGAIMANA,2024-03-01 00:00:00,Tiktok,netral
JUSTICE FOR KIM SAERON JUSTICE FOR GAROSERO????????,2024-03-01 00:00:00,Tiktok,netral
ayooo terus dukung soohyun biar tetap tampil di publik!!! Aku masih pengen liat spill an garosero soalnya ??????,2024-03-01 00:00:00,Tiktok,netral
"ok aku paham . ????
memang lebih menyenangkan semacam itu sih ????",2024-03-01 00:00:00,Tiktok,positif
"gara2 KSH gua sampe nonton fifty shades barusan hanya buat mengerti maksud dari video ini, dan yaps gua tidak kuat tidak ku tonton filmnya sampai habis ????",2024-03-01 00:00:00,Tiktok,netral
"inget waktu dia ditanya mau nikah umur brp, dia blg nikah diumur 40 dengan wanita umur 20an, agak shikshakshok, dari situ aja udah agak laen ??",2024-03-01 00:00:00,Tiktok,netral
gw pamit duluan deh guys dari kasus ini soalnya sibuk bikin nastar????,2024-03-01 00:00:00,Tiktok,netral
50 shades of ??,2024-03-01 00:00:00,Tiktok,netral
"ga paham, maksudnya apa sih? ??
(tolong dijawab dengan serius yh)",2024-03-01 00:00:00,Tiktok,netral
#justiceforkimsaeron #justiceforsulli #womensupportwomen,2024-03-01 00:00:00,Tiktok,netral
what is the relationship between KSR's reputation and KSH? I mean it wasn't KSH who destroyed his reputation since before the parents revealed their relationship no one knew ???????,2024-03-01 00:00:00,Tiktok,negatif
berarti peran KSH difilm real bersma Sulli karakternya persis direal lifenya??,2024-03-01 00:00:00,Tiktok,positif
fifty shades of soo hyun,2024-03-01 00:00:00,Tiktok,netral
jdi Sae-ron masih kecil udh D gitu2in ksh?,2024-03-01 00:00:00,Tiktok,netral
lindungin dia weh takut tetiba hilang ??,2024-03-01 00:00:00,Tiktok,netral
kasian saeron kalo sampe sejauh ini yang di ungkap??,2024-03-01 00:00:00,Tiktok,netral
kenapa ga dicari aja yg katanya mantan suami nya kalo emang ada beneran... trus tanyain kebenaran nya,2024-03-01 00:00:00,Tiktok,netral
"I WOMEN, I STAND FOR SAERON??",2024-03-01 00:00:00,Tiktok,netral
tolong tetap membantah ??,2024-03-01 00:00:00,Tiktok,netral
maksudnya gmna nih? kurang paham ??????,2024-03-01 00:00:00,Tiktok,netral
sesungguhnya puasane batal ora ghibahin kim soo hyun??,2025-03-01 00:00:00,Tiktok,netral
baru jg q tinggal angetin kuah soto eh udah ketinggalan aja ni q ma episode hr ini??makin rame aja ni drama in real life??,2024-03-01 00:00:00,Tiktok,positif
tolong di bantah soalnya saya penasaran sm video yg ini awokwok,2025-03-01 00:00:00,Tiktok,netral
"langsung paham si??, kasian gadis kecilku yang malang ??",2024-03-01 00:00:00,Tiktok,netral
ok ketiga deh,2024-03-01 00:00:00,Tiktok,positif
pokoknya kalo team garosero hilang..tau kan pelaku nya ????,2024-03-01 00:00:00,Tiktok,netral
"Pasti pas muda dia tampan dan gagah banget, keliatan soalnya ????",2024-03-01 00:00:00,Tiktok,netral
DEMI TUHAN GAPAHAMM??????,2025-03-01 00:00:00,Tiktok,netral
tkut dia ditmbk ato diapain krna brni bgt bongkar,2025-03-01 00:00:00,Tiktok,netral
klo KSR sudah menikah seharusnya suaminya hadir ke rumah duka juga,2024-03-01 00:00:00,Tiktok,netral
#justiceforsaeron,2024-03-01 00:00:00,Tiktok,netral
"#STOPCYBERBULLYING
#STOPCANCELCULTURE
#JUSTICEFORKIMSOOHYUN",2024-03-01 00:00:00,Tiktok,netral
warna Ikat Kepalanya Sama Kayak warna Celana dalam Kim Cangcut??,2024-03-01 00:00:00,Tiktok,netral
kim cangcutt udah ih maluuu ????,2029-03-01 00:00:00,Tiktok,netral
taxi driver : beuh kasus men,2024-03-01 00:00:00,Tiktok,netral
"WEYY LEBIH SERU NONTON INI DARIPADA BERITA POLITIK NEGERI SENDIRI?? gak cocok di aku, bikin puyeng + muntah liat berita politik negeri sndiri, mending nungguin garosero nyepill nyepilll wkwkkw",2024-03-01 00:00:00,Tiktok,netral
sutradara taxi driver sibuk pasti nih,2024-03-01 00:00:00,Tiktok,netral
"jgn"" Kim cangcut prnh sekap org?!!",2025-03-01 00:00:00,Tiktok,netral
??????Kim cangcut ??,2026-03-01 00:00:00,Tiktok,netral
Habis kim cangcut terbitlah kim abu-abu,2025-03-01 00:00:00,Tiktok,netral
lanjoooootttt kim cangcut??,2025-03-01 00:00:00,Tiktok,netral
"agak kasian si sama mendiang kim saeron nya, foto foto nya di up sana sini ??",2025-03-01 00:00:00,Tiktok,netral
cepet bantah kim cangcut penasaran ama videonya ihhh,2025-03-01 00:00:00,Tiktok,netral
fifty shadesss ygy ??,2025-03-01 00:00:00,Tiktok,netral
mr grey ?? kim soo hyun,2027-03-01 00:00:00,Tiktok,netral
masi mendingan mr gray kayaknya ??,2025-03-01 00:00:00,Tiktok,netral
semngt garosero,2025-03-01 00:00:00,Tiktok,netral
Garosero butuh bantuan nikmir ga??,2028-03-01 00:00:00,Tiktok,netral
"@ptr:KIM SOO HYUN KALI INI GUE DUKUNG LO BUAT BANTAH YG INI, soalnya aku mau liat vidio ini ????",2025-03-01 00:00:00,Tiktok,netral
tiap abis teraweh kalo mau makan selalu nunggu update di mas hansol????????,2025-03-01 00:00:00,Tiktok,netral
"katanya banyak knetz yg marah karna garosero udh gak fokus di KSR×KSH lg malah melebar kmn""",2025-03-01 00:00:00,Tiktok,netral
ayo KSH bantah lagi krn w mau liat garosero keluarin videonya??????makin penasaran ini w,2025-03-01 00:00:00,Tiktok,netral
bener bener ye tu om om,2024-03-01 00:00:00,Tiktok,netral
*dsm gak sieh ????,2024-03-01 00:00:00,Tiktok,netral
aku baca di fb td ada judulnya keluarga Ksr udah memutuskan utk menghentikan upload2 bukti utk nyerang ksh. Bener ga tuh?,2024-03-01 00:00:00,Tiktok,netral
tapi kasian kim saeronnya gasi ??????,2024-03-01 00:00:00,Tiktok,netral
kita liat aja nanti ??stay strong oppaa ??????????,2025-03-01 00:00:00,Tiktok,positif
tinggal buktikan aja bukti mereka pcrn tahun 2015 itu.,2024-03-01 00:00:00,Tiktok,netral
itu yg di kepala om garo tulisannya apa sih ga bisa Hangeul??,2024-03-01 00:00:00,Tiktok,netral
maksudnya apa ya,2026-03-01 00:00:00,Tiktok,netral
bentar ....nunggu buka puasa dulu yaa??????ntar searching lagiiii??????,2025-03-01 00:00:00,Tiktok,netral
kata aing mah gausah say sorry dulu somen wkwk,2025-03-01 00:00:00,Tiktok,negatif
lebih seru dr drakor njir,2024-03-01 00:00:00,Tiktok,netral
itu apa si mksd garosero ko mulutnya ditutup ga paham? ????,2024-03-01 00:00:00,Tiktok,netral
"@saniisaf:soohyun tolong dibantah,aku mau liat video yg ini wkwkw",2025-03-01 00:00:00,Tiktok,netral
"Soohyun tolong di bantah ya, soalnya aku mau liat video yg ini????",2025-03-01 00:00:00,Tiktok,netral
"plis ada terjemahannnya, ga ngerti dia ngomong apa??",2024-03-01 00:00:00,Tiktok,netral
yg bikin sedih ga ngerti itu ngomong apa??,2025-03-01 00:00:00,Tiktok,netral
Kim So Hyun tidak bersalah ????,2026-03-01 00:00:00,Tiktok,netral
Maaf pikiran jadi kemana2 ??,2024-03-01 00:00:00,Tiktok,netral
oppa gangnam style ??????,2024-03-01 00:00:00,Tiktok,netral
anjir merindinggg??,2024-03-01 00:00:00,Tiktok,netral
pls bantah,2025-03-01 00:00:00,Tiktok,netral
Justice for KimSaeron,2025-03-01 00:00:00,Tiktok,netral
Film real udah bner itu nyeritain ksh sndiri,2026-03-01 00:00:00,Tiktok,positif
KSH BANTAH DLU PLISS BIAR DI SPILL DULU,2025-03-01 00:00:00,Tiktok,netral
NJIR LAAAA PLIS BANTAH ????,2025-03-01 00:00:00,Tiktok,netral
Pliss KSH lo bantah gk buruan ???? g gk sabar liat perilisannya WKWKWK,2025-03-01 00:00:00,Tiktok,netral
yok lanjut blunder yok,2024-03-01 00:00:00,Tiktok,netral
garosero memasak ????,2024-03-01 00:00:00,Tiktok,netral
Panjang umur murah rejeki pak. Semoga aman aman ya hidup kamu sudah seberani ini,2024-03-01 00:00:00,Tiktok,netral
brrti film the real bner2 diriny sendiri,2024-03-01 00:00:00,Tiktok,positif
kpan up fto dan video terbarunya garosero. aku penasaran??,2024-03-01 00:00:00,Tiktok,netral
"please jgn ngaku dulu, mau liat video nya dulu",2024-03-01 00:00:00,Tiktok,netral
biar pengdilan yg yg menentukan siapa yg salah dan benar,2024-03-01 00:00:00,Tiktok,netral
makkkk takuutt??,2024-03-01 00:00:00,Tiktok,netral
mau dispill kasian cewenya nggak di spill penasaran,2026-03-01 00:00:00,Tiktok,netral
BJIRRR PLISSS JANGAN KLARIFIKASI DULU?? GUE MO LIAT VIDEONYA,2026-03-01 00:00:00,Tiktok,netral
Herannya berarti di bikin video lagi gitu nya ya ??,2026-03-01 00:00:00,Tiktok,netral
buset dia di movie yg sama sully itu berarti beneran kaga akting,2026-03-01 00:00:00,Tiktok,netral
udah gamau ikutin lagi beritanya makin pusing,2024-03-01 00:00:00,Tiktok,netral
okkk keempat,2024-03-01 00:00:00,Tiktok,netral
selain burning sun ini juga luar biasa ya,2025-03-01 00:00:00,Tiktok,netral
#JusticeforKimSaeron #JusticiaParaKimSaeron,2024-03-01 00:00:00,Tiktok,netral
akhirnya fyp kembali,2024-03-01 00:00:00,Tiktok,netral
akankah kasusnya ngalahin burning sun ??,2024-03-01 00:00:00,Tiktok,netral
"GM sma KSH ayo sangkal lagi, aku mau liat video atau fotonyaaa????",2024-03-01 00:00:00,Tiktok,netral
justicefor Kim searon,2024-03-01 00:00:00,Tiktok,netral
"gak paham ??, berita nya muncul di jam2 lagi bertahan hidup",2024-03-01 00:00:00,Tiktok,netral
#justiceforkimsaeron #justiceforsulli #womensupportwomen,2024-03-01 00:00:00,Tiktok,netral
"Coba bantah dulu Kim cang, Kita mau Liat video aslinya????",2025-03-01 00:00:00,Tiktok,netral
pantes bisa buat film REAL,2024-03-01 00:00:00,Tiktok,positif
akhirnya dngr lagi kabar nih berita,2024-03-01 00:00:00,Tiktok,netral
anjir anjir merinding,2024-03-01 00:00:00,Tiktok,netral
Hyun bantah hyun. Gua mau liat pideo nya ??????????????????,2026-03-01 00:00:00,Tiktok,netral
Masih on going ??????,2025-03-01 00:00:00,Tiktok,netral
up aja kalo ada buktinya soalnya pasti ngga ngaku dia,2025-03-01 00:00:00,Tiktok,netral
"KSH jgn lgsng ngaku pliss
gw mau liat videonya??",2025-03-01 00:00:00,Tiktok,netral
"wait, pemeriksaan forensik terhadap foto² maksudnya?",2025-03-01 00:00:00,Tiktok,netral
Waowwwww kalem yg membahayakan,2025-03-01 00:00:00,Tiktok,netral
It's astonishing how many still consider Garosero a reliable source. He hasn't provided any of the promised evidence. This video won't exist either,2025-03-01 00:00:00,Tiktok,positif
agak di percepat lah tolong kepo,2024-03-01 00:00:00,Tiktok,netral
"siapa bekingan garosero ya,kok bisa berani up gtu ya",2024-03-01 00:00:00,Tiktok,netral
"jelasin plisss mksdnya gimana? gue ga paham ""mr.grey"" apaan dah ???? dia gigit pulpen? terus kenapa?? ih jelasin kepo bgt ??",2024-03-01 00:00:00,Tiktok,netral
Tkut bgtttt anjr,2024-03-01 00:00:00,Tiktok,netral
2 hari sepi nih. Ada berita apa lagi? Mana video yg mau di release?,2024-03-01 00:00:00,Tiktok,netral
pas baca VT ini gua cuma bisa ?????????????? mangap tercengang,2024-03-01 00:00:00,Tiktok,netral
"nah si gero gero ni kemana gak muncul"" berapa hari",2024-03-01 00:00:00,Tiktok,netral
ada aja gebrakan ah elah men soomen??????,2024-03-01 00:00:00,Tiktok,netral
WEH BENER BENER SOOHYUN??,2024-03-01 00:00:00,Tiktok,netral
maksud gimana oi? aku ga paham. plis jelasin. ???????? kenapa ada pulpen dimulut?,2024-03-01 00:00:00,Tiktok,netral
Plis bantah dulu ya .. mao liat bener????,2024-03-01 00:00:00,Tiktok,netral
"Bukan fans dan ga pro ke siapapun, tp kalo sampe begini , bener2 apa iya????? Ga nyangka bngt",2024-03-01 00:00:00,Tiktok,netral
Idiiihh si Anjjjjj,2024-03-01 00:00:00,Tiktok,netral
Keren banget ajushiii ini??,2024-03-01 00:00:00,Tiktok,netral
waww pose apaituuu??,2024-03-01 00:00:00,Tiktok,netral
Ngeri bgt njir ??,2024-03-01 00:00:00,Tiktok,netral
I woman stands for justice not men or women,2025-07-04 00:00:00,Tiktok,netral
Justice for Kim Soeron ????,2025-04-04 00:00:00,Tiktok,netral
garosero recall2,2025-02-04 00:00:00,Tiktok,netral
adili Kim Soo hyunn??????????????hati hati cewe cewe bucin international dengan cogan internasional????????????????,2025-01-04 00:00:00,Tiktok,netral
HARUSNYA SOMEN KETEMUNYA LISA MARIANA BIAR DUEL CUCOK KAYAKE,1930-03-01 00:00:00,Tiktok,netral
pliss bantahan pernyataan ini ??????.,2026-03-01 00:00:00,Tiktok,netral
gue berasa lagi di drakor plz..,2026-03-01 00:00:00,Tiktok,netral
Njir otak gue kepikiran FSOG??,2026-03-01 00:00:00,Tiktok,netral
"tanpa tau artinya gua paham maksudnyaa, paham bangett????",2025-03-01 00:00:00,Tiktok,netral
oh ksh is Rude boy right? ????,2025-03-01 00:00:00,Tiktok,netral
somen tolong bilang tidak. biar aku liat vidionya ????,2025-03-01 00:00:00,Tiktok,netral
Tolong bantah kim soo hyuun ?? aku beneran kepo,2025-03-01 00:00:00,Tiktok,netral
"jgn minta maaf dulu plisss, masih ada 190 foto lg",2025-03-01 00:00:00,Tiktok,netral
garesero: karna lu cuan buat gw,2025-03-01 00:00:00,Tiktok,netral
selama sudah dewasa... yah sah2 aja mo gaya apa... ??,2025-03-01 00:00:00,Tiktok,netral
viral versi korea bahaya banget men,2025-03-01 00:00:00,Tiktok,netral
Taxi driver season 5 : 1 season cerita KSH semua ??????,2024-03-01 00:00:00,Tiktok,netral
ANJRLAH,2024-03-01 00:00:00,Tiktok,netral
gak berani komen masih puasa ??,2024-03-01 00:00:00,Tiktok,netral
#JusticeforKimSaeron,2027-03-01 00:00:00,Tiktok,netral
anak wp langsung mengerti??,2026-03-01 00:00:00,Tiktok,netral
Kim emang beneran real di film realnya??,2025-03-01 00:00:00,Tiktok,positif
Ini pasti ada fotonya kan makannya di praktekin wkwk,2025-03-01 00:00:00,Tiktok,netral
wow wowwwwww??,2024-03-01 00:00:00,Tiktok,netral
Astagfirullah ??,2024-03-01 00:00:00,Tiktok,netral
"waaaaw gerakan yang sangat menarik, aku tidak sabar untuk melihatnya",2024-03-01 00:00:00,Tiktok,netral
astaganaga,2024-03-01 00:00:00,Tiktok,netral
Semangat mencari kebenarannya cerita nya... ????????,2024-03-01 00:00:00,Tiktok,netral
TAKUUUUT,2024-03-01 00:00:00,Tiktok,netral
merinding????,2024-03-01 00:00:00,Tiktok,netral
smoha cpet slesaii????,2024-03-01 00:00:00,Tiktok,netral
dia udh klarifikasi blom sih katanya mau ngasih keterangan gimane bang di x lgi pda ribut soal negara ini soalnya ketimbun nie,2024-03-01 00:00:00,Tiktok,netral
link youtubenya mana????,2024-03-01 00:00:00,Tiktok,netral
anjir ga espek??,2024-03-01 00:00:00,Tiktok,netral
Makin panasss????????,2024-03-01 00:00:00,Tiktok,netral
Blm capek2 lu yee,2024-03-01 00:00:00,Tiktok,netral
suka nih gw gosip beginian??,2024-03-01 00:00:00,Tiktok,netral
semoga ada ke Adilan buat ksr,2024-03-01 00:00:00,Tiktok,netral
jir beneran tiap episode bikin tercengang,2024-03-01 00:00:00,Tiktok,netral
the fuck?!,2024-03-01 00:00:00,Tiktok,negatif
UPLOAD GA.....!!!!!!??????,2024-03-01 00:00:00,Tiktok,netral
ternyata episode nya masih panjang bjirr??????,2024-03-01 00:00:00,Tiktok,netral
gacor anjj,2024-03-01 00:00:00,Tiktok,netral
intinya kalau dia kenapa kenapa berarti benar,2024-03-01 00:00:00,Tiktok,netral
"Hidup aku udah lelah, nunggu keputusan akhir saja.",2024-03-01 00:00:00,Tiktok,netral
otak gue langsung travelingg mana blm buka puasa ??,2024-03-01 00:00:00,Tiktok,netral
ditunggu remake drakornya,2024-03-01 00:00:00,Tiktok,netral
Nggk selesai2 nih masalah,2024-03-01 00:00:00,Tiktok,netral
"sampe skrg blm up"", malah keluar negri????",2021-04-01 00:00:00,Tiktok,netral
makin pusing,2018-04-01 00:00:00,Tiktok,netral
???? : ?I? ?O??Y ?I? ??????,2025-09-04 00:00:00,Tiktok,netral
"KSH ternyata suhu,dibalik wajah bayinya??",2025-04-04 00:00:00,Tiktok,netral
uuuuuuhhhh ????,2025-03-04 00:00:00,Tiktok,netral
"people didn’t seek the truth; they sought a story that satisfied their hunger for blame.
#bestrongKSH??",2025-03-04 00:00:00,Tiktok,positif
apa niiihhhhh,2025-02-04 00:00:00,Tiktok,netral
"bantah lagi , biar makin banyak yg di rilis ??",2025-02-04 00:00:00,Tiktok,netral
Aduuh tolong saya gk ngerti tentang pose poto itu bagi yang tau tolong jeskan doong ??begini klo jadi orang jadul ??,2025-01-04 00:00:00,Tiktok,netral
w takut knp2 nih org.kya dpilm2 gtu,2025-01-04 00:00:00,Tiktok,netral
Oh...,2025-01-04 00:00:00,Tiktok,netral
longlive garosero,2025-01-04 00:00:00,Tiktok,netral
gassskeun??,2025-01-04 00:00:00,Tiktok,netral
Notice how he never wiped this tears,2025-01-04 00:00:00,Tiktok,netral
BJIRRR,2025-01-04 00:00:00,Tiktok,netral
napa g dri dulu diungkit..kok g kan mendiang terselamatkan,2025-01-04 00:00:00,Tiktok,netral
up,1931-03-01 00:00:00,Tiktok,netral
ini udah selesai ya ? soalnya g bosen,1930-03-01 00:00:00,Tiktok,netral
Tamat riwayat??,2029-03-01 00:00:00,Tiktok,netral
wth??,2028-03-01 00:00:00,Tiktok,netral
masih bingung ini kim so hyun beneran kaya gitu kah,2028-03-01 00:00:00,Tiktok,netral
STRESS-DOWN-ABU??,2028-03-01 00:00:00,Tiktok,netral
"@saniisaf: soohyun tolong dibantah,aku mau liat video yg ini wkwkw",2028-03-01 00:00:00,Tiktok,netral
Emangggggggg shiiiiiiiiiiiiiiiiiibl,2028-03-01 00:00:00,Tiktok,netral
behhh DEBM style rupanya??,2028-03-01 00:00:00,Tiktok,netral
????????keep going say the true,2028-03-01 00:00:00,Tiktok,positif
OMG ??,2028-03-01 00:00:00,Tiktok,netral
buruan di spill aja penasarn,2027-03-01 00:00:00,Tiktok,netral
ANJIRRRRRR,2026-03-01 00:00:00,Tiktok,netral
pengen liaaaatttt,2026-03-01 00:00:00,Tiktok,netral
omg??????,2026-03-01 00:00:00,Tiktok,netral
njirr,2026-03-01 00:00:00,Tiktok,netral
apa arti tulisan di bathoknya itu?,2026-03-01 00:00:00,Tiktok,netral
takut ??????,2026-03-01 00:00:00,Tiktok,netral
anjir maen polisi polisian ??????,2026-03-01 00:00:00,Tiktok,netral
mau nanya kok dia tau secara detail kejadiannya ya,2026-03-01 00:00:00,Tiktok,netral
ayo bantah ksh wkwk mau liat videonya rilis,2026-03-01 00:00:00,Tiktok,netral
haahahahhaa hanjayyyyy KSH??????,2026-03-01 00:00:00,Tiktok,netral
ANJAYYYYY,2026-03-01 00:00:00,Tiktok,netral
mksdnyaa apa itu?,2026-03-01 00:00:00,Tiktok,netral
Cepat spilll iihh ??,2026-03-01 00:00:00,Tiktok,netral
tolong translit??,2026-03-01 00:00:00,Tiktok,netral
kasian somen,2025-03-01 00:00:00,Tiktok,netral
wahhh waahhh ????,2025-03-01 00:00:00,Tiktok,netral
kalo kayak gini sinyalku lebih cepat dari 5g??,2025-03-01 00:00:00,Tiktok,netral
plis bantah plis bantaaah?? plis?? aku mau liat videonya,2025-03-01 00:00:00,Tiktok,netral
mksdnya yg begitu itu ksh atau ksr nya??,2025-03-01 00:00:00,Tiktok,netral
Chanel YouTube nya apa sih,2025-03-01 00:00:00,Tiktok,netral
gelap banget somen ternyata hidup lo??,2025-03-01 00:00:00,Tiktok,netral
Ngomong apa itu ?? Terjemahin plis,2025-03-01 00:00:00,Tiktok,netral
Women should support KimSaeron not Men??,2025-03-01 00:00:00,Tiktok,netral
"Please artiin ??
kaga ngerti ????
pokoknya aku dukung KSH ,, semangat KSH bantah ya????
tau kan ??",2025-03-01 00:00:00,Tiktok,netral
EHHHHHHH,2025-03-01 00:00:00,Tiktok,netral
Ksh heper juga yh,2025-03-01 00:00:00,Tiktok,netral
Gold medalist udah habis duit berapaaa,2025-03-01 00:00:00,Tiktok,netral
tolong banget somen bantah yang ini,2025-03-01 00:00:00,Tiktok,netral
"#justiceforkimsaeron
#justiceforsulli",2025-03-01 00:00:00,Tiktok,netral
awwww keluarkan semua,2025-03-01 00:00:00,Tiktok,positif
wah kayaknya dia suka red room,2025-03-01 00:00:00,Tiktok,netral
"mana lagi puasa masih tengah hari bolong,aduhhh otak q tolong masak batal sih????????",2025-03-01 00:00:00,Tiktok,netral
Jgn bilang yg ada di pikiran gue bener?? ????,2025-03-01 00:00:00,Tiktok,netral
WADUH,2025-03-01 00:00:00,Tiktok,netral
SPILLL CPTANN PLEASEE,2025-03-01 00:00:00,Tiktok,netral
plisss bantah yaaa agensi sama KSH biar di spil????????,2025-03-01 00:00:00,Tiktok,netral
bantah ga! mw liat??,2025-03-01 00:00:00,Tiktok,netral
cepetan mana videonya ??,2025-03-01 00:00:00,Tiktok,netral
maksud nya gimana ka,2025-03-01 00:00:00,Tiktok,netral
need taxi driver 3 buat kasus ini????,2025-03-01 00:00:00,Tiktok,netral
Semoga usahamu membuahkan hasil yaa,2025-03-01 00:00:00,Tiktok,netral
dia ngomong apa? pliss aq gak ngerti.. ??,2025-03-01 00:00:00,Tiktok,netral
maksudnya gmn sih,2025-03-01 00:00:00,Tiktok,netral
"Aduh spil aja langsung, gw suka yg to the point??",2025-03-01 00:00:00,Tiktok,netral
Arti dari ikat kepala yg dipakai apa sih kepo? (Bertanya dengan ketidaktahuan),2025-03-01 00:00:00,Tiktok,netral
bantah plis aku mw liat vidionya????,2025-03-01 00:00:00,Tiktok,netral
